Key,English (en),English GB (en-GB),English US (en-US),German (de),Spanish (es),Arabic (ar),Chinese Simplified (zh-Hans),Chinese Traditional (zh-Hant),Japanese (ja)
Account-AboutApp,About OpenApply,About OpenApply,About OpenApply,Über OpenApply,Acerca de OpenApply,About OpenApply,关于OpenApply,關於 OpenApply,OpenApplyについて
Account-Application,Application,Application,Application,Anwendung,Solicitud,Application,支持,支援,アプリケーション
Account-Discover,Discover,Discover,Discover,Entdecken,Descubrir,Discover,发现,發現,発見
Account-Language,Language,Language,Language,Sprache,Idioma,Language,语言,語言,言語
Account-Lock-Description,"Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Die App nach 2 Minuten automatisch sperren und mit TouchID, FaceID oder Passcode entsperren.","Bloquee automáticamente la aplicación después de 2 minutos y desbloquéela mediante el reconocimiento de huellas dactilares, la detección facial o código de acceso.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.",如开启，程序进入后台超过两分钟将自动锁定，您可以使用FaceID和密码来解锁。,開啟後，如果應用程式在背景待命超過兩分鐘將自動鎖定，您可以使用 FaceID 和密碼再次解除鎖定。,2分後にアプリを自動ロックし、TouchID、FaceID、またはパスコードでロック解除します。
Account-Lock-Title,Auto-Lock,Auto-Lock,Auto-Lock,Auto-Sperre,Bloqueo automático,Auto-Lock,自动锁屏,自動鎖定螢幕,自動ロック
Account-LogOut,Log Out,Log Out,Log Out,Abmelden,Cerrar sesión,Log Out,退出登录,登出,ログアウト
Account-Push-DisAbleDescription,Push notifications have been disabled for all devices.,Push notifications have been disabled for all devices.,Push notifications have been disabled for all devices.,Push-Benachrichtigungen wurden für alle Geräte deaktiviert,Se han desactivado las notificaciones automáticas en todos los dispositivos.,Push notifications have been disabled for all devices.,消息推送已对所有设备关闭,通知推播已對所有裝置關閉,プッシュ通知はすべてのデバイスで無効になっています。
Account-Push-Disable,Disable Device Push Notifications,Disable Device Push Notifications,Disable Device Push Notifications,Push-Benachrichtigungen für Geräte deaktivieren,Desactivar las notificaciones automáticas en el dispositivo,Disable Device Push Notifications,关闭消息推送,關閉通知推播,デバイスプッシュ通知を無効にする
Account-Push-Enable,Enable Device Push Notifications,Enable Device Push Notifications,Enable Device Push Notifications,Push-Benachrichtigungen für Geräte aktivieren,Activar las notificaciones automáticas en el dispositivo,Enable Device Push Notifications,开启消息推送,開啟通知推播,デバイスプッシュ通知を有効にする
Account-Push-Help,Help & Support,Help & Support,Help & Support,Hilfe und Support,Ayuda y soporte,Help & Support,帮助与支持,幫助與支援,ヘルプとサポート
Account-RateApp,Rate the OpenApply App,Rate the OpenApply App,Rate the OpenApply App,Bewerten Sie die OpenApply App,Valorar la aplicación OpenApply,Rate the OpenApply App,评分,評分,OpenApplyアプリを評価
Account-Request,Submit Support Request,Submit Support Request,Submit Support Request,Support-Anfrage einreichen,Enviar solicitud de soporte,Submit Support Request,提交支持请求,提交客服案件,サポートリクエストを送信
Account-System,System,System,System,System,Sistema,System,系统,系統,システム
Account-Title,Account,Account,Account,Benutzerkonto,Cuenta,Account,账户,賬號,アカウント
Account-Version,Version,Version,Version,Version,Versión,Version,版本,版本,バージョン
App_Update_Use,recently used,recently used,recently used,kürzlich verwendet,Recientemente usado,recently used,最近使用,最近使用,最近使用した
App_Version_Already-New,OpenApply is up to date,OpenApply is up to date,OpenApply is up to date,OpenApply ist auf dem neuesten Stand,OpenApply está actualizado,OpenApply is up to date,OpenApply 已经是最新的版本,OpenApply 已經是最新的版本,OpenApplyは最新です
App_Version_Cancel_Update,Not Now,Not Now,Not Now,Nicht jetzt,Ahora No,Not Now,取消,取消,後で
App_Version_Go_Update,Update,Update,Update,Aktualisieren,Actualizar,Update,立即更新,立即更新,更新
App_Version_Go_Update_Available,An update to OpenApply is available. Would you like to update?,An update to OpenApply is available. Would you like to update?,An update to OpenApply is available. Would you like to update?,Ein Update für OpenApply ist verfügbar.Möchten Sie aktualisieren?,Está disponible una actualización de OpenApply.¿Desea actualizarlo?,An update to OpenApply is available. Would you like to update?,新版本的 OpenApply 现已上架，是否前往更新？,新版本的 OpenApply 現已上架，是否前往更新？,OpenApplyの更新が利用可能です。更新しますか？
App_Version_Go_Update_Required,An update to OpenApply is required to continue.,An update to OpenApply is required to continue.,An update to OpenApply is required to continue.,"Ein Update für OpenApply ist erforderlich, um fortzufahren.",Es necesaria una actualización de OpenApply para poder continuar.,An update to OpenApply is required to continue.,你必须更新软件才能继续使用 OpenApply,你必須更新軟件才能繼續使用 OpenApply,続行するにはOpenApplyの更新が必要です。
App_Version_Updated_Available,Update Available,Update Available,Update Available,Update verfügbar,Actualización disponible,Update Available,发现新版本,發現新版本,更新が利用可能です
App_Version_Updated_Required,Update Required,Update Required,Update Required,Update erforderlich,Es necesaria una actualización,Update Required,版本更新 ,版本更新 ,更新が必要です
Applicant-Checklist-Hide,Hide Completed,Hide Completed,Hide Completed,Abgeschlossenes ausblenden,Ocultar Completado,Hide Completed,隐藏完成项目,隱藏完成事項,完了を非表示
Applicant-Checklist-Nohide-Remind,No pending items,No pending items,No pending items,Keine austehenden Einträge,Sin elementos pendientes,No pending items,没有待处理的项目。,沒有待處理的事項。,保留中の項目はありません
Applicant-Checklist-ResendEmail,Resend via E-mail,Resend via E-mail,Resend via E-mail,Erneut per E-Mail senden,Reenviar a través de correo electrónico,Resend via E-mail,重新发送邮件,重新發送郵件,メールで再送信
Applicant-Checklist-Show,Show Completed,Show Completed,Show Completed,Abgeschlossenes anzeigen,Mostrar Completado,Show Completed,显示完成项目,顯示完成事項,完了を表示
Applicant-Checklist-UploadFile,Upload Files,Upload Files,Upload Files,Dateien hochladen,Subir archivos,Upload Files,上传文件,上傳檔案,ファイルをアップロード
Applicant-Family-Information,Family Information,Family Information,Family Information,Informationen zur Familie,Información de familia,Family Information,家庭信息,家庭資訊,家族情報
Applicant-Files,Files,Files,Files,Dateien,Archivos,Files,文件,檔案,ファイル
Applicant-Profile,Profile,Profile,Profile,Profil,Perfil,Profile,详情,詳情,プロフィール
Applicant-Title,Applicant Profile,Applicant Profile,Applicant Profile,Bewerberprofil,Perfil de solicitante,Applicant Profile,申请人信息,申請人資訊,申請者プロフィール
Application-Button-ExportPDF,Export PDF,Export PDF,Export PDF,PDF exportieren,Exportar a PDF,Export PDF,导出PDF,匯出 PDF,PDFをエクスポート
Application-Button-ReViewForm,Review Form,Review Form,Review Form,Formular überprüfen,Revisar formulario,Review Form,检查表单,檢查表單,フォームを確認
Application-Button-ResendEmail,Resend Email,Resend Email,Resend Email,E-Mail erneut senden,Reenviar correo electrónico,Resend Email,重新发送邮件,重新發送電子郵件,メールを再送信
Application-Button-UploadFile,Upload File,Upload File,Upload File,Datei hochladen,Subir archivo,Upload File,上传文件,上傳檔案,ファイルをアップロード
Apply-Status-Exist,Apply with an existing child,Apply with an existing child,Apply with an existing child,Mit einem existierenden Kind bewerben,Solicitar con un niño existente,Apply with an existing child,给已有孩子申请,幫現有孩子申請,既存の子供で申請
Apply-Status-New,Apply with new child,Apply with new child,Apply with new child,Mit einem neuen Kind bewerben,Solicitar con un nuevo niño,Apply with new child,给新的孩子申请,幫全新孩子申請,新しい子供で申請
Auth-Camara-Message,OpenApply needs your permission to access the camera,OpenApply needs your permission to access the camera,OpenApply needs your permission to access the camera,"OpenApply benötigt Ihre Erlaubnis, um auf die Kamera zuzugreifen",OpenApply necesita su permiso para acceder a la cámara,OpenApply needs your permission to access the camera,OpenApply需要您同意，才能访问相机,OpenApply 需要您的許可才能存取相機,OpenApplyはカメラにアクセスするための許可が必要です
Auth-Camara-Title,OpenApply needs access to your camera,OpenApply needs access to your camera,OpenApply needs access to your camera,OpenApply benötigt Zugriff auf Ihre Kamera,OpenApply necesita acceder a su cámara,OpenApply needs access to your camera,OpenApply需要访问您的相机,OpenApply 需要存取您的相機,OpenApplyはカメラへのアクセスが必要です
Auth-Go-Cancel,Not allowed,Not allowed,Not allowed,Nicht erlaubt,No permitido,Not allowed,不允许,不允許,許可されていません
Auth-Go-Open,Go to settings to enable,Go to settings to enable,Go to settings to enable,"Gehen Sie zu den Einstellungen, um zu aktivieren",Ir a configuración para habilitar,Go to settings to enable,前往开启,前往設定開啟,設定に移動して有効にする
Auth-Photo-Message,OpenApply needs your permission to access the gallery,OpenApply needs your permission to access the gallery,OpenApply needs your permission to access the gallery,"OpenApply benötigt Ihre Erlaubnis, um auf die Galerie zuzugreifen",OpenApply necesita su permiso para acceder a la galería,OpenApply needs your permission to access the gallery,OpenApply需要您同意，才能访问相册,OpenApply 需要您的許可才能存取相冊,OpenApplyはギャラリーにアクセスするための許可が必要です
Auth-Photo-Title,OpenApply needs access to your gallery,OpenApply needs access to your gallery,OpenApply needs access to your gallery,OpenApply benötigt Zugriff auf Ihre Galerie,OpenApply necesita permiso para acceder a su galería,OpenApply needs access to your gallery,OpenApply需要访问您的相册,OpenApply 需要存取您的相冊,OpenApplyはギャラリーへのアクセスが必要です
Calender-Auth-Description,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,"Aktivieren den Zugriff auf Ihren Kalender, um Erinnerungen hinzuzufügen.",Permitir acceso a tu calendario para agregar recordatorios de eventos.,Allow access to your calendar to add event reminders.,允许访问您的日历以便添加提醒。,允許存取您的日曆以便新增提醒。,イベントリマインダーを追加するためにカレンダーへのアクセスを許可してください。
Calender-Auth-Title,Allow 'OpenApply' to access your calendar？,Allow 'OpenApply' to access your calendar？,Allow 'OpenApply' to access your calendar？,Möchten Sie „OpenApply“ den Zugriff auf Ihren Kalender geben?,¿Permitir que 'OpenApply' acceda a tu calendario?,Allow 'OpenApply' to access your calendar？,允许“OpenApply”访问日历？,允許'OpenApply'存取日曆？,'OpenApply'がカレンダーにアクセスすることを許可しますか？
Camera-Not-Auth,Camera permissions are not enabled.,Camera permissions are not enabled.,Camera permissions are not enabled.,Kamerazugriff ist nicht gestattet,Los permisos de la cámara no están habilitados.,Camera permissions are not enabled.,相机权限受限,相機權限受限,カメラの権限が有効になっていません。
Camera-NotAuth-Description,Please go to [Settings-Privacy-camera] to enable the camera permission.,Please go to [Settings-Privacy-camera] to enable the camera permission.,Please go to [Settings-Privacy-camera] to enable the camera permission.,Bitte navigieren Sie zu [Einstellungen-Privatsphäre-Kamera] um die Kameraerlaubnis zu aktivieren.,Ir a [Settings-Privacy-camera] para habilitar los permisos de la cámara.,Please go to [Settings-Privacy-camera] to enable the camera permission.,请去-> [设置 - 隐私 - 相机] 打开访问开关。,請至裝置中 > [設置 > 隱私 > 相機] 打開權限開關,[設定-プライバシー-カメラ]に移動して、カメラの権限を有効にしてください。
CheckList-Item-Action-Done,Make as Completed,Make as Completed,Make as Completed,Mark als abg.,Marco comp.,Make as Completed,标记为完成,標記為完成,完了としてマーク
CheckList-Item-Action-Due,Due,Due,Due,Fällig,Plazo,Due,截止,截止,期限
Common-About,About,About,About,Über,Acerca de,About,关于,關於,について
Common-And,and,and,and,Und,Y,and,与,與,と
Common-Attach-Camera,Take a Photo,Take a Photo,Take a Photo,Ein Foto machen,Sacar una foto,Take a Photo,拍照,拍照,写真を撮る
Common-Attach-File,Attach File,Attach File,Attach File,Datei anhängen,Adjuntar archivo,Attach File,添加附件,插入附件,ファイルを添付
Common-Attach-Image,Insert from Photo Gallery,Insert from Photo Gallery,Insert from Photo Gallery,Aus der Fotogalerie einfügen,Insertar de la galería de fotos,Insert from Photo Gallery,从相册选取,從相簿挑選,フォトギャラリーから挿入
Common-Attach-Video,Choose Video,Choose Video,Choose Video,Ein Video wählen,Elegir vídeo,Choose Video,视频,影片,動画を選択
Common-Cancel,Cancel,Cancel,Cancel,Abbrechen,Cancelar,Cancel,取消,取消,キャンセル
Common-Date,Date,Date,Date,Datum,Fecha,Date,日期,日期,日付
Common-Done,Done,Done,Done,Fertig,Hecho,Done,保存,儲存,完了
Common-Filter,Filter,Filter,Filter,Filter,Filtro,Filter,筛选,篩選,フィルター
Common-Log-Out,Are you sure you want to log out?,Are you sure you want to log out?,Are you sure you want to log out?,"Sind Sie sicher, dass Sie sich abmelden möchten?",¿Está seguro de que quiere cerrar la sesión?,Are you sure you want to log out?,确定要退出登录吗？,確定是否登出？,ログアウトしてもよろしいですか？
Common-Reset,Reset,Reset,Reset,Zurücksetzen,Restablecer,Reset,重置,重置,リセット
Common-Search,Search,Search,Search,Suchen,Buscar,Search,搜索,搜尋,検索
Common-Security,Security & Legal Notice,Security & Legal Notice,Security & Legal Notice,Sicherheits- und rechtliche Hinweise,Avisos legales y de seguridad,Security & Legal Notice,安全与法律声明,安全與法律聲明,セキュリティと法的通知
Common-Select,Select,Select,Select,Auswählen,Seleccionar,Select,选择,選擇,選択
Common-Select-Date,Please select a date,Please select a date,Please select a date,Bitte wählen Sie ein Datum,Seleccionar una fecha,Please select a date,请选择日期,請選擇日期,日付を選択してください
Common-Sure,OK,OK,OK,OK,OK,OK,确定,確定,OK
Common-Type,Type,Type,Type,Typ,Tipo,Type,类型,類型,タイプ
Day-AM,AM,AM,AM,AM,AM,AM,上午,上午,午前
Day-At,at,at,at,at,at,at,在,在,に
Day-Friday,Friday,Friday,Friday,Freitag,Viernes,Friday,星期五,星期五,金曜日
Day-Monday,Monday,Monday,Monday,Montag,Lunes,Monday,星期一,星期一,月曜日
Day-PM,PM,PM,PM,PM,PM,PM,下午,下午,午後
Day-Saturday,Saturday,Saturday,Saturday,Samstag,Sábado,Saturday,星期六,星期六,土曜日
Day-Sunday,Sunday,Sunday,Sunday,Sonntag,Domingo,Sunday,星期日,星期日,日曜日
Day-Thursday,Thursday,Thursday,Thursday,Donnerstag,Jueves,Thursday,星期四,星期四,木曜日
Day-Today,Today,Today,Today,Heute,Hoy,Today,今日,在今日,今日
Day-Today-At,Today at,Today at,Today at,Heute um,Hoy a las,Today at,在今日,在今日,今日
Day-Tuesday,Tuesday,Tuesday,Tuesday,Dienstag,Martes,Tuesday,星期二,星期二,火曜日
Day-Wednesday,Wednesday,Wednesday,Wednesday,Mittwoch,Miércoles,Wednesday,星期三,星期三,水曜日
Day-Yesterday,Yesterday,Yesterday,Yesterday,Gestern,Ayer,Yesterday,昨天,在昨天,昨日
Day-Yesterday-At,Yesterday at,Yesterday at,Yesterday at,Gestern um,Ayer a las,Yesterday at,在昨天,在昨天,昨日
Email-Cant-Null,Email and/or Region is invalid,Email and/or Region is invalid,Email and/or Region is invalid,E-mail und/oder Region ist ungültig,El correo electrónico y/o región no es válido,Email and/or Region is invalid,邮箱或地区不能为空,電子郵件或地區不能為空,メールおよび/または地域が無効です
EndPoint-Choose-Description,Choose Region,Choose Region,Choose Region,Endpunkt wählen,Elegir resultado,Choose Region,请选择服务区域,請選擇服務區域,地域を選択
Event-Calender-Remind, Remind Me, Remind Me, Remind Me, Remind Me, Recuérdame, Remind Me, 提醒我, 提醒我, リマインドする
Event-Cancel-Keep,Keep Event,Keep Event,Keep Event,Veranstaltung behalten,Mantener evento,Keep Event,保留活动,保留活動,イベントを保持
Event-Cancel-Message,Are you sure you want to cancel this event? This action cannot be undone.,Are you sure you want to cancel this event? This action cannot be undone.,Are you sure you want to cancel this event? This action cannot be undone.,"Sind Sie sicher, dass Sie diese Veranstaltung stornieren möchten? Diese Aktion kann nicht rückgängig gemacht werden.",¿Está seguro de que desea cancelar este evento? Esta acción no se puede deshacer.,Are you sure you want to cancel this event? This action cannot be undone.,您确定要取消此活动吗？此操作无法撤销。,您確定要取消此活動嗎？此操作無法撤銷。,このイベントをキャンセルしてもよろしいですか？この操作は元に戻せません。
Event-Cancel-Success,Cancel Successful!,Cancel Successful!,Cancel Successful!,Erfolgreich abgebrochen,Evento Cancelado,Cancel Successful!,取消成功,取消成功,キャンセル成功！
Event-Cancel-Title,Cancel Event,Cancel Event,Cancel Event,Veranstaltung stornieren,Cancelar evento,Cancel Event,取消活动,取消活動,イベントをキャンセル
Event-Check-Message,Congratulations! Your check-in has been confirmed.,Congratulations! Your check-in has been confirmed.,Congratulations! Your check-in has been confirmed.,Herzlichen Glückwunsch! Ihre Anmeldung wurde bestätigt.,¡Felicidades! Se ha confirmado su registro.,Congratulations! Your check-in has been confirmed.,恭喜！您的签到已确认。,恭喜！您的簽到已確認。,おめでとうございます！チェックインが確認されました。
Event-Check-Title,Check In Successful!,Check In Successful!,Check In Successful!,Erfolgreich angemeldet!,Registro Realizado Correctamente!,Check In Successful!,签到成功！,簽到成功！,チェックイン成功！
Event-Detail-Cancel,Cancel this Event,Cancel this Event,Cancel this Event,Diese Veranstaltung stornieren,Cancelar evento,Cancel this Event,取消此活动,取消此活動,このイベントをキャンセル
Event-ErrorMessage-AlignCode,Please scan the Check In QR Code,Please scan the Check In QR Code,Please scan the Check In QR Code,Bitte benutzen Sie den QR Code zur Anmeldung,"Por favor, alinee el código QR de registro",Please scan the Check In QR Code,请对准签到二维码,請對準簽到QR碼,チェックインQRコードをスキャンしてください
Event-ErrorMessage-NoEvent,No available event. Please make sure you scan the correct event QR code.,No available event. Please make sure you scan the correct event QR code.,No available event. Please make sure you scan the correct event QR code.,"Keine verfügbare Veranstaltung. Bitte stellen Sie sicher, dass Sie den richtigen Veranstaltungs-QR-Code benutzt haben.",No hay eventos disponibles para el registro. Asegúrese de escanear el código QR del evento correcto.,No available event. Please make sure you scan the correct event QR code.,暂无可用的签到活动。请确保您扫描了正确的活动二维码。,暫無可用的簽到活動。請確保您掃描了正確的活動 QR 碼。,利用可能なイベントがありません。正しいイベントQRコードをスキャンしてください。
Event-Invalid-Code,OpenApply can not identify the QR Code.,OpenApply can not identify the QR Code.,OpenApply can not identify the QR Code.,OpenApply kann den QR-Code nicht identifizieren,OpenApply no puede leer el código QR,OpenApply can not identify the QR Code.,OpenApply 无法识别该二维码,OpenApply 無法識別該 QR 碼,OpenApplyはQRコードを識別できません。
Event-Join-Avtive,Join,Join,Join,Beitreten,Unirse,Join,参加,參加,参加
Event-List-Reminder,Please select the activity you want to check in from the list below and click Continue.,Please select the activity you want to check in from the list below and click Continue.,Please select the activity you want to check in from the list below and click Continue.,"Bitte wählen Sie die Aktivität aus, für die Sie einchecken möchten, und klicken Sie auf Weiter.","Por favor, seleccione la actividad en la lista de abajo en la que desea registrarse y haga clic en Continuar.",Please select the activity you want to check in from the list below and click Continue.,请从下面的列表中选择您要签到的活动，点击继续,請從下面的列表中選擇您要簽到的活動，點擊繼續。,以下のリストからチェックインしたいアクティビティを選択して、続行をクリックしてください。
Event-Scan-QRCode,Scan QR code.,Scan QR code.,Scan QR code.,QR-Code scannen,Escanear código QR,Scan QR code.,扫描二维码,掃描二維碼.,QRコードをスキャン。
Events-Detail,Event Details,Event Details,Event Details,Veranstaltungsdetails,Detalles del evento,Event Details,活动详情,活動詳情,イベント詳細
Events-Detail-Author,Host,Host,Host,Veranstalter,Anfitrión,Host,主持人,主辦人,ホスト
Events-Detail-Children,Children,Children,Children,Kinder,Hijos,Children,孩子,孩子,子供
Events-Detail-Description,Details,Details,Details,Details,Detalles,Details,详情,詳情,詳細
Events-Detail-Location,Location,Location,Location,Veranstaltungsort,Ubicación,Location,位置,地點,場所
Events-No-Event,No Upcoming Events,No Upcoming Events,No Upcoming Events,Keine bevorstehenden Veranstaltungen,No hay próximos eventos,No Upcoming Events,没有即将举行的活动,沒有即將到來的活動,今後のイベントはありません
Events-No-EventDes,Schedule an event to see the school,Schedule an event to see the school,Schedule an event to see the school,Wählen Sie einen Termin aus um die Schule zu besuchen.,Programar un evento para visitar la escuela.,Schedule an event to see the school,当前还没有即将举行的活动,目前沒有即將到來的活動,学校見学のイベントをスケジュール
Events-Title,Upcoming Events,Upcoming Events,Upcoming Events,Bevorstehende Veranstaltungen,Próximos eventos,Upcoming Events,即将举行的活动,即將到來的活動,今後のイベント
Events-Type-Interview,Interview,Interview,Interview,Vorstellungsgespräch,Entrevista,Interview,面试,面試,面接
Events-Type-OpenDay,OpenDay,OpenDay,OpenDay,Offener Tag,Día abierto,OpenDay,开放日,開放日,オープンデー
Events-Type-Tour,Tour,Tour,Tour,Tour,Visita,Tour,游览,遊覽,ツアー
File-Toast-FileSize,Attachment file size limit: 500M,Attachment file size limit: 500M,Attachment file size limit: 500M,Dateigrößenlimit für Anhänge: 500 MB,Tamaño del archivo adjunto limitado: 500M,Attachment file size limit: 500M,附件大小限制：500M,附件大小限制：500MB,添付ファイルサイズ上限：500M
File-Toast-ImageSize,The size of the picture must be less than 50M.,The size of the picture must be less than 50M.,The size of the picture must be less than 50M.,Die Größe des Bildes muss weniger als 50 MB betragen.,El tamaño de la foto debe ser de menos de 50M.,The size of the picture must be less than 50M.,图片大小须小于50M,圖片大小需小於 50MB,画像のサイズは50M未満である必要があります。
File-Toast-Invalid,Invalid file,Invalid file,Invalid file,Ungültige Datei,Archivo no válido,Invalid file,无效的文件,無效的檔案格式,無効なファイル
File-Toast-Permission,File permission acquisition failed.,File permission acquisition failed.,File permission acquisition failed.,Erwerb der Dateiberechtigung fehlgeschlagen,La obtención de permiso del archivo ha fallado,File permission acquisition failed.,文件权限获取失败,檔案權限,ファイル権限の取得に失敗しました。
File-Upload-By,by,by,by,von,las,by,经过,經過,による
File-Upload-Error,Upload Failed. Please make sure your network is working.,Upload Failed. Please make sure your network is working.,Upload Failed. Please make sure your network is working.,"Upload fehlgeschlagen.Bitte stellen Sie sicher, dass Ihr Netzwerk funktioniert.",Error al subir el archivo.Asegúrese de que su red está funcionando.,Upload Failed. Please make sure your network is working.,上传失败，请再次确认您是否已连上网络。,上傳失敗，請再次確認您是否已連上網絡,アップロードに失敗しました。ネットワークが機能していることを確認してください。
File-Upload-Net-Error,Network exception,Network exception,Network exception,Netzwerk-Ausnahme,Excepción de red,Network exception,网络异常,網絡異常,ネットワーク例外
Files-Delete,Delete File,Delete File,Delete File,Datei löschen,Eliminar archivo,Delete File,删除文件,刪除檔案,ファイルを削除
Files-Delete-Description,Are you sure to delete the file?,Are you sure to delete the file?,Are you sure to delete the file?,"Sind Sie sicher, dass Sie die Datei löschen wollen?",¿Está seguro de que quiere eliminar el fichero?,Are you sure to delete the file?,确定要删除文件吗？,確定要刪除檔案嗎？,ファイルを削除してもよろしいですか？
Files-Filter-Checklist,Checklist,Checklist,Checklist,Checkliste,Lista de comprobación,Checklist,申请清单,申請列表,チェックリスト
Files-Filter-Email,Email,Email,Email,E-Mail,Correo electrónico,Email,邮件,電子郵件,メール
Files-Filter-Form,Form,Form,Form,Formular,Formulario,Form,表单,表單,フォーム
Files-Filter-Message,Message,Message,Message,Meldung,Mensaje,Message,消息,訊息,メッセージ
Files-Filter-Profile,Profile,Profile,Profile,Profil,Perfil,Profile,简介,簡介,プロフィール
Files-Type-CantRead,File format is not supported.,File format is not supported.,File format is not supported.,Dateiformat ist nicht unterstützt,El formato de archivo no es admitido,File format is not supported.,文件格式不支持预览,檔案格式不支持預覽,ファイル形式はサポートされていません。
Files-upload-Success,The file has been successfully uploaded.,The file has been successfully uploaded.,The file has been successfully uploaded.,The Datei wurde erfolgreich hochgeladen.,El archivo se ha cargado con éxito,The file has been successfully uploaded.,文件上传成功,檔案上傳成功,ファイルが正常にアップロードされました。
Forgot-Password-Alter-Done,Done,Done,Done,Fertig,Hecho,Done,完成,完成,完了
Forgot-Password-Alter-Message,Password reset instructions have been sent to the specified email.,Password reset instructions have been sent to the specified email.,Password reset instructions have been sent to the specified email.,Passwortinstruktionen wurden and die angegebene E-Mail Adresse gesendet.,Las instrucciones de la contraseña reiniciada han sido enviadas al correo electrónico indicado.,Password reset instructions have been sent to the specified email.,密码重置说明已发送至指定邮箱,密碼重置說明已發送至指定郵箱,パスワードリセットの手順が指定されたメールに送信されました。
Forgot-Password-Alter-OpenMail,Open Mail,Open Mail,Open Mail,E-Mail öffnen,Abrir correo electrónico,Open Mail,打开邮箱,打開郵箱,メールを開く
Forgot-Password-Alter-Title,Password Reset,Password Reset,Password Reset,Neues Passwort,Contraseña reiniciada,Password Reset,密码重置,密碼重置,パスワードリセット
Google-Alter-Unlink-Dec,Want to unlink your Google account?,Want to unlink your Google account?,Want to unlink your Google account?,Möchten Sie Ihr Google-Konto trennen?,¿Quiere desvincular su cuenta de Google?,Want to unlink your Google account?,想解除绑定Google账号？,想解除綁定 Google 帳戶？,Googleアカウントのリンクを解除しますか？
Google-Link-Title,Google,Google,Google,Google,Google,Google,Google,Google,Google
Google-Login-No-Schools,We couldn't find the school associated with your Google account. Please log in using your email or phone number.,We couldn't find the school associated with your Google account. Please log in using your email or phone number.,We couldn't find the school associated with your Google account. Please log in using your email or phone number.,Wir konnten die mit Ihrem Google-Konto verknüpfte Schule nicht finden. Bitte melden Sie sich mit Ihrer E-Mail-Adresse oder Telefonnummer an.,"No hemos encontrado la escuela asociada a tu cuenta de Google. Por favor, inicia sesión utilizando tu correo electrónico o número de teléfono.",We couldn't find the school associated with your Google account. Please log in using your email or phone number.,暂无未查到您Google绑定的学校，请通过邮箱，或手机号登录。,暫未查到你Google已綁定的學校，請通過郵箱或手機號登錄。,Googleアカウントに関連する学校が見つかりませんでした。メールまたは電話番号を使用してログインしてください。
Google-Unlink-Success,Your account has successfully been unlinked with Google.,Your account has successfully been unlinked with Google.,Your account has successfully been unlinked with Google.,Ihr Konto wurde erfolgreich von Google getrennt.,Su cuenta se ha desvinculado de Google.,Your account has successfully been unlinked with Google.,您的账号已成功取消与Google的绑定。,您的帳戶已成功取消與 Google 的綁定。,アカウントがGoogleとのリンクを解除しました。
Home-Enrollment-Description,Please give your enrolment decision for %@ .,Please give your enrolment decision for %@ .,Please give your enrolment decision for %@ .,Bitte geben Sie Ihre Entscheidung über die Anmeldung für %@ bekannt.,Dar su resolución de matriculación a %@.,Please give your enrolment decision for %@ .,请点击这里为%@给出入学决定,請點擊這裡為%@做出入學決定,%@の入学決定を行ってください。
Home-Event-CheckIn,  Check In,  Check In,  Check In,  Anmelden,  Registrarse,  Check In,  签到,  簽到,  チェックイン
Home-Event-CheckedIn,Attended,Attended,Attended,Teilgenommen,Registrado,Attended,已参加,已参加,出席済み
