Key,English (en),English GB (en-GB),English US (en-US),German (de),Spanish (es),Arabic (ar),Chinese Simplified (zh-Hans),Chinese Traditional (zh-Hant),Japanese (ja)
Home-Event-Description,You have %li event(s) to check in.,You have %li event(s) to check in.,You have %li event(s) to check in.,"Sie haben %li Veranstaltung(en), die eingecheckt werden müssen.",Tiene %li evento(s) para hacer check-in.,You have %li event(s) to check in.,您有%li个活动需要签到。,您有%li個活動需要簽到。,%li件のイベントにチェックインする必要があります。
Home-Event-Select,Select Event,Select Event,Select Event,Veranstaltung auswählen,Seleccionar evento,Select Event,选择活动,選擇活動,イベントを選択
Home-Event-Title,Check In,Check In,Check In,Anmelden,Registro,Check In,签到,,チェックイン
Home-Invoice-Description,"You have %li outstanding invoices to pay, Please visit the Invoices & Fees page.","You have %li outstanding invoices to pay, Please visit the Invoices & Fees page.","You have %li outstanding invoices to pay, Please visit the Invoices & Fees page.",Sie haben %li austehende Rechnungen. Bitte besuchen Sie die Rechnungen & Gebühren Seite.,Tiene %li facturas pendientes de pago. Visite la página de Facturas y Tasas.,"You have %li outstanding invoices to pay, Please visit the Invoices & Fees page.",您有%li笔费用待付，请访问「账单及费用」页面进行结算。,您有%li筆待付費用，請至「賬單與費用」頁面付款。,%li件の未払い請求書があります。請求書と料金ページをご確認ください。
Home-Invoice-GoPay,Pay Online,Pay Online,Pay Online,Online bezahlen,Pagar en línea,Pay Online,在线支付,線上付款,オンライン支払い
Home-Invoice-Reminder,Invoice Reminder,Invoice Reminder,Invoice Reminder,Rechnungserinnerung,Recordatorio de factura,Invoice Reminder,账单提醒,賬單提醒,請求書リマインダー
Home-Invoice-Total,Total Outstanding:,Total Outstanding:,Total Outstanding:,Ausstehende Summe:,Total pendiente:,Total Outstanding:,总费用:,總費用：,未払い合計：
Home-Item-Application,Submit an Application,Submit an Application,Submit an Application,Bewerbung einreichen,Enviar una solicitud,Submit an Application,申请,申請,申請を送信
Home-Item-Enquiry,Submit a New Enquiry,Submit a New Enquiry,Submit a New Enquiry,Neue Anfrage einreichen,Enviar una consulta nueva,Submit a New Enquiry,问询,諮詢,新しいお問い合わせを送信
Home-Item-Invoice,Invoices & Fees,Invoices & Fees,Invoices & Fees,Rechnungen und Gebühren,Facturas y tasas,Invoices & Fees,账单及费用,賬單及費用,請求書と料金
Home-Item-Menu,Menu,Menu,Menu,Menü,Menú,Menu,菜单,選單,メニュー
Home-Item-OpenDay,Open Day,Open Day,Open Day,Tag der offenen Tür,Jornada de puertas abiertas,Open Day,开放日,開放日,オープンデー
Home-Item-Tour,Schedule a Tour,Schedule a Tour,Schedule a Tour,Tour vereinbaren,Programar una visita,Schedule a Tour,游览,遊覽,ツアーを予約
Home-Item-UpCommingEvent,Upcoming Events,Upcoming Events,Upcoming Events,Bevorstehende Veranstaltungen,Próximos eventos,Upcoming Events,即将举行的活动,即將到來的活動,今後のイベント
Home-ReEnrollment-Description,Please give your re-enrolment decision for %@ before %@.,Please give your re-enrolment decision for %@ before %@.,Please give your re-enrolment decision for %@ before %@.,Bitte geben Sie Ihre Entscheidung über die Wiederanmeldung für %@ vor %@ bekannt.,Dar su resolución de rematriculación para %@ antes de %@.,Please give your re-enrolment decision for %@ before %@.,请点击这里为%@给出续读决定，报名截止日期%@。,請點選此處為%@做出續讀確認，報名截止日期為%@。,%@の再入学決定を%@までに行ってください。
Home-Title,Dashboard,Dashboard,Dashboard,Dashboard,Panel de control,Dashboard,总览,總覽,ダッシュボード
IDAT_Not_Avaialble_Describe,"This checklist item is not available on mobile, please use a web browser to access it.","This checklist item is not available on mobile, please use a web browser to access it.","This checklist item is not available on mobile, please use a web browser to access it.",Dieser Checklisteneintrag ist nicht in der mobilen App zugänglich. Bitte benutzen Sie einen Webbrowser um den Eintrag einzusehen.,Este elemento de la lista de comprobación no está disponible en el móvil; utilice un navegador para acceder a él.,"This checklist item is not available on mobile, please use a web browser to access it.",此项目尚不支持手机浏览，请使用电脑继续浏览该项目。,此事項尚未支援手機瀏覽，請使用電腦繼續瀏覽該事項。,このチェックリスト項目はモバイルでは利用できません。Webブラウザを使用してアクセスしてください。
IDAT_Not_Avaialble_on_Moblie,IDAT not available on the mobile app.,IDAT not available on the mobile app.,IDAT not available on the mobile app.,IDAT is nicht in der mobilen App vorhanden.,IDAT no está disponible en la aplicación móvil,IDAT not available on the mobile app.,IDAT 尚不支持手机浏览,IDAT 尚未支援手機瀏覽,IDATはモバイルアプリでは利用できません。
Inbox-Filter-ShowUnread,Only Show Unread Notifications,Only Show Unread Notifications,Only Show Unread Notifications,Nur ungelesene Benachrichtigungen anzeigen,Mostrar sólo notificaciones no leídas,Only Show Unread Notifications,只显示未读通知,只顯示未讀通知,未読通知のみを表示
Inbox-Make-Star,Star,Star,Star,Star,Star,Star,收藏,收藏,スター
Inbox-Make-Unread,Make as Unread,Make as Unread,Make as Unread,Als Ungelesen markieren,Marcar como no leído,Make as Unread,标记为未读,標記為未讀,未読にする
Inbox-Messages,Messages,Messages,Messages,Meldungen,Mensajes,Messages,消息,訊息,メッセージ
Inbox-Nothing-News,Nothing new for you,Nothing new for you,Nothing new for you,Keine neuen Benachrichtigungen,Nada nuevo para usted.,Nothing new for you,对你来说没有什么新鲜事。,對你來說沒有什麼新鮮事。,新着情報はありません
Inbox-Notification,Notifications,Notifications,Notifications,Benachrichtigungen,Notificaciones,Notifications,通知,通知,通知
Inbox-Notification-New,New for You,New for You,New for You,Neu für Sie,Nuevo para usted,New for You,未读消息,未讀訊息,新着
Inbox-Notification-Previou,Previous Notifications,Previous Notifications,Previous Notifications,Vorherige Benachrichtigungen,Notificaciones previas,Previous Notifications,历史通知,歷史通知,過去の通知
Inbox-Notification-Read,Mark all as Read,Mark all as Read,Mark all as Read,Alle als gelesen markieren,Marcar todo como leído,Mark all as Read,全部标记已读,全部標示為已讀,すべて既読にする
Inbox-Remove-Starred,Remove from Starred,Remove from Starred,Remove from Starred,Von Favorisiert entfernen,Eliminar de favoritos,Remove from Starred,从已加星标中移除,從已加星標中移除,スターを外す
Inbox-Search-NoData,The keyword was not found,The keyword was not found,The keyword was not found,Das Stichwort wurde nicht gefunden,La palabra clave no se ha encontrado,The keyword was not found,找不到关键字,找不到關鍵字,キーワードが見つかりませんでした
Inbox-Search-Starred,Starred,Starred,Starred,Favorisiert,Favoritos,Starred,已加星标,已加星標,スター付き
Inbox-Title,Inbox,Inbox,Inbox,Posteingang,Buzón de entrada,Inbox,收件箱,收件夾,受信箱
Inbox-Toast-NoMoreUnred,No unread notifications.,No unread notifications.,No unread notifications.,Keine ungelesenen Benachrichtigungen,No hay notificaciones nuevas,No unread notifications.,没有更多未读通知,沒有更多未讀通知,未読の通知はありません。
Inbox-Toast-NoUnred,Check back here for new notifications.,Check back here for new notifications.,Check back here for new notifications.,Lesen Sie neue Benachrichtigungen hier,Volver a comprobar las nuevas notificaciones aquí,Check back here for new notifications.,返回此处查看新通知,返回此處查看新通知,新しい通知はここで確認してください。
Invoices-Amount,Amount,Amount,Amount,Betrag,Cantidad,Amount,金额,金額,金額
Invoices-DueDate,Due Date,Due Date,Due Date,Fälligkeitsdatum,Fecha de vencimiento,Due Date,截止日期,截止日期,期限
Invoices-Generate-Invoice,Generate Invoice,Generate Invoice,Generate Invoice,Rechnung generieren,Generar factura,Generate Invoice,创建账单,創建賬單,請求書を生成
Invoices-No-Payments,No Payments,No Payments,No Payments,Keine Zahlungen,No tiene pagos,No Payments,没有款项,沒有款項,支払いなし
Invoices-NoPayments-Description,Your payments will appear here.,Your payments will appear here.,Your payments will appear here.,Ihre Bezahlungen werden hier angezeigt.,Sus pagos aparecerán aquí.,Your payments will appear here.,当前没有账单,目前沒有賬單,お支払い情報がここに表示されます。
Invoices-NoPayments-ReceivedInvoices-Description,You have not received any invoices from the school.,You have not received any invoices from the school.,You have not received any invoices from the school.,Sie haben keine Rechnungen von der Schule erhalten.,No ha recibido ninguna factura de la escuela.,You have not received any invoices from the school.,你没有收到学校的任何发票。,你沒有收到學校的任何發票。,学校から請求書を受け取っていません。
Invoices-Open,Open Invoices,Open Invoices,Open Invoices,Offenen Rechnungen,Facturas abiertas,Open Invoices,未支付,未支付,未払い請求書
Invoices-Pay-Now,Pay Now,Pay Now,Pay Now,Jetzt bezahlen,Pagar ahora,Pay Now,去支付,去付款,今すぐ支払う
Invoices-PayOn,Paid On,Paid On,Paid On,Bezahlt am,Pagado,Paid On,支付日期,付款日期,支払日
Invoices-Received,Received Invoices,Received Invoices,Received Invoices,Empfangen Rechnungen,Facturas recibidas,Received Invoices,已支付,已支付,受領済み請求書
Invoices-Title,Invoices & Fees,Invoices & Fees,Invoices & Fees,Rechnungen und Gebühren,Facturas y tasas,Invoices & Fees,账单及费用,賬單及費用,請求書と料金
Invoices-Total-Outstanding,Total Outstanding,Total Outstanding,Total Outstanding,Ausstehende Summe,Total pendiente,Total Outstanding,总待付费用,總待付費用,未払い合計
Invoices-Type,Type,Type,Type,Typ,Tipo,Type,类型,類型,タイプ
Invoices-via,via,via,via,über,A través de,via,通过,通過,経由
Language-Arabic-Error,"This language is not yet supported for the App version, and will temporarily display in English.","This language is not yet supported for the App version, and will temporarily display in English.","This language is not yet supported for the App version, and will temporarily display in English.",Diese Sprache wird für die App-Version nicht unterstützt und wird vorübergehend in englischer Sprache angezeigt.,"Este idioma aún no está soportado para la versión App, y se mostrará temporalmente en inglés.","This language is not yet supported for the App version, and will temporarily display in English.",当前版本不支持阿拉伯语，将暂时展示英文。,當前版本不支持阿拉伯語，將暫時展示英文,この言語はアプリバージョンではまだサポートされておらず、一時的に英語で表示されます。
Login-CodeSent,Code has been sent (%@ sec),Code has been sent (%@ sec),Code has been sent (%@ sec),Code wurde gesendet (%@ Sek.),Código enviado (%@ seg),Code has been sent (%@ sec),验证码已发送（%@ 秒）,驗證碼已發送（%@ 秒）,コードが送信されました（%@秒）
Login-EnterPhoneNumber,Please enter the phone number,Please enter the phone number,Please enter the phone number,Bitte geben Sie die Telefonnummer ein,"Por favor, ingrese su número de teléfono. ",Please enter the phone number,请输入手机号码,請輸入手機號碼,電話番号を入力してください
Login-EnterVerificationCode,Please enter the verification code,Please enter the verification code,Please enter the verification code,Bitte geben Sie den Verifizierungscode ein,"Por favor, ingrese el código de verificación",Please enter the verification code,请输入验证码,請輸入驗證碼,認証コードを入力してください
Login-Failed-Description,Please verify your email address and try again.,Please verify your email address and try again.,Please verify your email address and try again.,Bitte bestätigen Sie Ihre E-Mail Adresse und versuchen Sie es erneut.,Verificar su dirección de correo y volver a intentarlo.,Please verify your email address and try again.,请验证您的电子邮件地址，然后重试,請驗證您的電子郵件地址，然後重試,メールアドレスを確認して、もう一度お試しください。
Login-Failed-Description-Netwrok,Your internet connection is unstable. Please check your network connection and try again.,Your internet connection is unstable. Please check your network connection and try again.,Your internet connection is unstable. Please check your network connection and try again.,Internetverbindung ist nicht stabil. Bitte überprüfen Sie Ihre Verbindung und versuchen Sie es erneut.,"Internet no es estable, compruebe su conexión a Internet y volver a intentarlo.",Your internet connection is unstable. Please check your network connection and try again.,网络不稳定，请检查您的网络连接并重试,網絡不穩定，請檢查您的網絡連接並重試,インターネット接続が不安定です。ネットワーク接続を確認して、もう一度お試しください。
Login-Failed-Title,Login,Login,Login,Anmeldung,Iniciar sesión,Login,登录,登入,ログイン
Login-Or,Or,Or,Or,Oder,O,Or,或者,或者,または
Login-Region-China,China,China,China,China,China,China,中国,中國,中国
Login-Region-Demo,Demo,Demo,Demo,Demo,Demo,Demo,演示,演示,デモ
Login-Region-Europe,"United Kingdom, Qatar, Sweden","United Kingdom, Qatar, Sweden","United Kingdom, Qatar, Sweden","United Kingdom, Qatar, Sweden","United Kingdom, Qatar, Sweden","United Kingdom, Qatar, Sweden",英国、卡塔尔、瑞典,英國、卡塔爾、瑞典,英国、カタール、スウェーデン
Login-Region-Global,Global,Global,Global,Global,Global,Global,全球,全球,グローバル
Login-SMS,Sign In with SMS,Sign In with SMS,Sign In with SMS,Mit SMS anmelden,Inicio de sesión por SMS,Sign In with SMS,短信登录,簡訊登錄,SMSでサインイン
Login-SMS-FailRemind,The current phone number is not associated with the school. Please verify your phone number on the website first.,The current phone number is not associated with the school. Please verify your phone number on the website first.,The current phone number is not associated with the school. Please verify your phone number on the website first.,Die aktuelle Telefonnummer ist nicht mit der Schule verknüpft. Bitte überprüfen Sie zuerst Ihre Telefonnummer auf der Website.,"El número de teléfono actual no está asociado con la escuela. Por favor, verifique su número de teléfono en el sitio web primero.",The current phone number is not associated with the school. Please verify your phone number on the website first.,当前手机号码未关联学校，请先在网站验证手机号。,當前手機號碼未關聯學校，請先在網站驗證手機號碼。,現在の電話番号は学校に関連付けられていません。まずウェブサイトで電話番号を確認してください。
Login-SMS-Phone,Please enter your phone number to complete the SMS verification process. We will send you a one-time verification code to facilitate your sign-in.,Please enter your phone number to complete the SMS verification process. We will send you a one-time verification code to facilitate your sign-in.,Please enter your phone number to complete the SMS verification process. We will send you a one-time verification code to facilitate your sign-in.,"Bitte geben Sie Ihre Telefonnummer ein, um den SMS-Verifizierungsprozess abzuschließen. Wir senden Ihnen einen einmaligen Verifizierungscode, um Ihnen die Anmeldung zu erleichtern.","El número de teléfono actual no está asociado con la escuela. Por favor, primero verifique su número de teléfono en el sitio web.",Please enter your phone number to complete the SMS verification process. We will send you a one-time verification code to facilitate your sign-in.,请填写您的手机号码，并完成短信验证。我们将发送一次性验证码以便您完成登录。,請填寫您的手機號碼，並完成短信驗證。我們將發送一次性驗證碼以便您完成登錄。,SMS認証プロセスを完了するには、電話番号を入力してください。サインインを容易にするためにワンタイム認証コードを送信します。
Login-SMS-Resend,Resend Code,Resend Code,Resend Code,Erneut senden,Reenviar el código de verificación,Resend Code,重新发送,重新傳送,コードを再送信
Login-SMS-Verification,Please enter the verification code you received via SMS to complete the SMS verification process.,Please enter the verification code you received via SMS to complete the SMS verification process.,Please enter the verification code you received via SMS to complete the SMS verification process.,"Bitte geben Sie den Verifizierungscode ein, den Sie per SMS erhalten haben, um den SMS-Verifizierungsprozess abzuschließen.","Por favor, ingresa el código de verificación que recibiste por SMS para completar el proceso de verificación por SMS.",Please enter the verification code you received via SMS to complete the SMS verification process.,请输入您通过短信收到的验证码，以完成短信验证流程。,請輸入您透過簡訊收到的驗證碼，以完成簡訊驗證流程。,SMS認証プロセスを完了するには、SMSで受信した認証コードを入力してください。
Login-Send-SMS,Send SMS Code,Send SMS Code,Send SMS Code,SMS-Code senden,Enviar código por SMS,Send SMS Code,发送验证码,傳送驗證碼,SMSコードを送信
Login-Toast-Error,Error,Error,Error,Fehler,Error,Error,错误,錯誤,エラー
Login-Toast-NoSchool,"No school information found, please check your email.","No school information found, please check your email.","No school information found, please check your email.","Keine Schulinformationen gefunden, bitte überprüfen Sie Ihre E-Mail","No se ha encontrado información de la escuela, compruebe su correo electrónico","No school information found, please check your email.",没有查询到注册学校，请检查电子邮件地址。,沒有查詢到註冊學校，請檢查電子郵件地址。,学校情報が見つかりません。メールを確認してください。
Login-Toast-Password,Password is invalid,Password is invalid,Password is invalid,Passwort ungültig,La contraseña no es válida,Password is invalid,密码不能为空,密碼不能為空,パスワードが無効です
Message-AllNulls-Remind,"Message cannot be empty,
 please try again","Message cannot be empty,
 please try again","Message cannot be empty,
 please try again","Nachricht kann nicht leer sein, 
 bitte versuchen Sie es erneut.","El mensaje no puede estar vacío, por favor, 
 inténtelo de nuevo.","Message cannot be empty,
 please try again",留言栏不能为空，请重试。,"訊息欄不可為空, 請重試","メッセージは空にできません。
もう一度お試しください。"
Message-External-Link,External Link,External Link,External Link,Externer Link,Enlace externo,External Link,外部链接,外部链接,外部リンク
Message-Internal-Link,Internal Link,Internal Link,Internal Link,Interner Link,Enlace interno,Internal Link,内部链接,内部链接,内部リンク
Message-Send-Fail,Message failed to send.,Message failed to send.,Message failed to send.,Senden der Nachricht fehlgeschlagen.,Envío de mensaje fallido,Message failed to send.,消息发送失败,訊息發送失敗,メッセージの送信に失敗しました。
Message-Send-Retry,Tap to Retry,Tap to Retry,Tap to Retry,"Tippen, um es erneut zu versuchen",Toque para reintentar,Tap to Retry,点击重试,點擊重試,タップして再試行
Message-Write-Message,Write a message,Write a message,Write a message,Als Nachricht schreiben,Escribir un mensaje,Write a message,输入一条消息,輸入一則訊息,メッセージを書く
Message-link-Open-Remind,You are now opening the external link. Click OK to continue to:,You are now opening the external link. Click OK to continue to:,You are now opening the external link. Click OK to continue to:,"Sie öffnen jetzt den externen Link. Auf OK klicken, um fortzufahren:",Ahora está abriendo el enlace externo. Haga clic en OK para continuar con:,You are now opening the external link. Click OK to continue to:,即将打开外部链接，点击“确定”继续：,即將打開外部連結，點擊「確定」繼續：,外部リンクを開いています。続行するにはOKをクリックしてください：
Month-Apr,Apr,Apr,Apr,Apr,Abr,Apr,4月,4月,4月
Month-Aug,Aug,Aug,Aug,Aug,Ago,Aug,8月,8月,8月
Month-Dec,Dec,Dec,Dec,Dez,Dic,Dec,12月,12月,12月
Month-Feb,Feb,Feb,Feb,Feb,Feb,Feb,2月,2月,2月
Month-Jan,Jan,Jan,Jan,Jan,Ene,Jan,1月,1月,1月
Month-Jul,Jul,Jul,Jul,Jul,Jul,Jul,7月,7月,7月
Month-Jun,Jun,Jun,Jun,Jun,Jun,Jun,6月,6月,6月
Month-Mar,Mar,Mar,Mar,Mär,Mar,Mar,3月,3月,3月
Month-May,May,May,May,Mai,May,May,5月,5月,5月
Month-Nov,Nov,Nov,Nov,Nov,Nov,Nov,11月,11月,11月
Month-Oct,Oct,Oct,Oct,Okt,Oct,Oct,10月,10月,10月
Month-Sep,Sep,Sep,Sep,Sep,Sep,Sep,9月,9月,9月
NSCalendarsFullAccessUsageDescription,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,"Aktivieren den Zugriff auf Ihren Kalender, um Erinnerungen hinzuzufügen.",Permitir acceso a tu calendario para agregar recordatorios de eventos.,Allow access to your calendar to add event reminders.,允许访问您的日历以便添加提醒。,允許存取您的日曆以便新增提醒。,イベントリマインダーを追加するためにカレンダーへのアクセスを許可してください。
NSCalendarsUsageDescription,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,Allow access to your calendar to add event reminders.,"Aktivieren den Zugriff auf Ihren Kalender, um Erinnerungen hinzuzufügen.",Permitir acceso a tu calendario para agregar recordatorios de eventos.,Allow access to your calendar to add event reminders.,允许访问您的日历以便添加提醒。,允許存取您的日曆以便新增提醒。,イベントリマインダーを追加するためにカレンダーへのアクセスを許可してください。
NSCameraUsageDescription,Allow OpenApply to access Camera to take photos and set up the head portrait,Allow OpenApply to access Camera to take photos and set up the head portrait,Allow OpenApply to access Camera to take photos and set up the head portrait,"Erlauben Sie OpenApply den Zugriff auf die Kamera, um Fotos zu machen und das Kopfportrait einzurichten.",Permitir que OpenApply acceda a la Cámara para sacar fotos y establecer el retrato de cabeza.,Allow OpenApply to access Camera to take photos and set up the head portrait,OpenApply需要访问相机通过拍照设置用户头像或上传图片,OpenApply需要訪問相機通過拍照設置用戶頭像或上傳圖片,OpenApplyが写真を撮影してプロフィール写真を設定するためにカメラにアクセスすることを許可してください
NSPhotoLibraryUsageDescription,Allow OpenApply to access Photo Library to set up the head portrait,Allow OpenApply to access Photo Library to set up the head portrait,Allow OpenApply to access Photo Library to set up the head portrait,"Erlauben Sie OpenApply den Zugriff auf die Fotobibliothek, um das Kopfportrait einzurichten.",Permitir que OpenApply acceda a la Galería de Fotos para establecer el retrato de cabeza.,Allow OpenApply to access Photo Library to set up the head portrait,OpenApply需要访问相册来设置用户头像或上传图片,OpenApply需要訪問相冊來設置用戶頭像或上傳圖片,OpenApplyがプロフィール写真を設定するためにフォトライブラリにアクセスすることを許可してください
NetWork-Error-Alter,"Unexpected server error.
 Please try again later.","Unexpected server error.
 Please try again later.","Unexpected server error.
 Please try again later.","Unerwarteter Serverfehler.
 Bitte versuchen Sie es später erneut.","Error del servidor. 
 Por favor, inténtelo de nuevo.","Unexpected server error.
 Please try again later.",服务器连线错误，请稍后再试。,伺服器連線錯誤，請稍後再試。,"予期しないサーバーエラー。
後でもう一度お試しください。"
Network-Toast-NetError,No Internet Connection.,No Internet Connection.,No Internet Connection.,Keine Internetverbindung,Sin conexión a Internet,No Internet Connection.,无网络连接,沒有網路連線,インターネット接続なし。
Network-Toast-NetErrorDis,"You are not connected to the internet. Make sure Wi-Fi is on, Airplane Mode is off, and try again.","You are not connected to the internet. Make sure Wi-Fi is on, Airplane Mode is off, and try again.","You are not connected to the internet. Make sure Wi-Fi is on, Airplane Mode is off, and try again.","Sie sind nicht mit dem Internet verbunden.Stellen Sie sicher, dass Wi-Fi eingeschaltet und der Flugzeugmodus deaktiviert ist, und versuchen Sie es erneut.","No está conectado a internet. Asegúrese de que su Wi-Fi está encendida, el modo avión apagado e inténtelo de nuevo.","You are not connected to the internet. Make sure Wi-Fi is on, Airplane Mode is off, and try again.",您未连接到互联网。请确保Wi-Fi已开启，飞行模式已关闭，然后重试。,您尚未連上網際網路。請確保 Wi-Fi 已開啟，飛航模式已關閉，然後重試。,インターネットに接続されていません。Wi-Fiがオンで、機内モードがオフであることを確認して、もう一度お試しください。
Network-Toast-Retry,Retry,Retry,Retry,Erneut versuchen,Reintentar,Retry,重试,重試,再試行
Nofitication-Filter-All,All,All,All,Alle,Todos,All,全部,全部,すべて
Nofitication-Filter-Applicant,Message to Applicant,Message to Applicant,Message to Applicant,Nachricht an Bewerber,Mensaje para el solicitante,Message to Applicant,留言给申请者,留言給申請者,申請者へのメッセージ
Nofitication-Filter-Checklist,Checklist,Checklist,Checklist,Checkliste,Lista de comprobación,Checklist,申请材料清单,申請項目列表,チェックリスト
Nofitication-Filter-Enrolment,Enrolment,Enrolment,Enrolment,Anmeldung,Matriculación,Enrolment,注册,註冊,入学
Nofitication-Filter-Interview,Interview,Interview,Interview,Vorstellungsgespräch,Entrevista,Interview,面试,面試,面接
Nofitication-Filter-Invoice,Invoice,Invoice,Invoice,Rechnung,Factura,Invoice,账单,賬單,請求書
Nofitication-Filter-ReEnrolment,Re-enrolment,Re-enrolment,Re-enrolment,Wiederanmeldung,Rematriculación,Re-enrolment,续读,續讀,再入学
Nofitication-Filter-Registration,New Parent Registration,New Parent Registration,New Parent Registration,Registrierung für neue Eltern,Nuevo registro de padre,New Parent Registration,新家长报名,新家長報名,新規保護者登録
Nofitication-Filter-Student,Student Status Change,Student Status Change,Student Status Change,Änderung des Schülerstatus,Cambio de estado del estudiante,Student Status Change,学生状态变更,學生狀態變更,生徒ステータス変更
Nofitication-Filter-Tour,Tour Registration,Tour Registration,Tour Registration,Tour-Anmeldung,Registro en la visita,Tour Registration,预约参观报名,預約參觀報名,ツアー登録
Notification-Details,Notification Details,Notification Details,Notification Details,Benachrichtigungs details,Detalles de Notificaciones,Notification Details,通知详情,通知詳情,通知の詳細
OA-OpenOASD-Enter-New-Mark,New,New,New,Neu,Nuevo,New,新,新,新規
OA-OpenOASD-Enter-Title,Schools Directory,Schools Directory,Schools Directory,Schools Directory,Directorio Escolar,Schools Directory,择校平台,擇校平臺,学校ディレクトリ
OnBoarding-Applicant,Applicant Checklist,Applicant Checklist,Applicant Checklist,Checkliste für Bewerber,Lista de verificación del solicitante,Applicant Checklist,申请清单,申請列表,申請者チェックリスト
OnBoarding-Applicant-Description,"Check your incomplete items on the Checklist, each student has its own items and the latest status of the submitted documentation.","Check your incomplete items on the Checklist, each student has its own items and the latest status of the submitted documentation.","Check your incomplete items on the Checklist, each student has its own items and the latest status of the submitted documentation.",Überprüfen Sie die unvollständigen Einträge der Checkliste. Jeder Bewerber hat eigene Einträge und den Status der dazugehörigen Dokumente.,Compruebe sus elementos incompletos en la lista de verificación; cada estudiante tiene sus propios elementos y el último estado de la documentación enviada.,"Check your incomplete items on the Checklist, each student has its own items and the latest status of the submitted documentation.",每个学生都有专属的事项列表，随时检查未完成的事项和提交档案的最新状态。,每个学生都有专属的事项列表，随时检查未完成的事项和提交檔案的最新状态。,チェックリストで未完了の項目を確認してください。各生徒には独自の項目と提出書類の最新ステータスがあります。
OnBoarding-Back,Back,Back,Back,Zurück,Volver,Back,上一页,上一頁,戻る
OnBoarding-Events,Upcoming Events,Upcoming Events,Upcoming Events,Bevorstehende Veranstaltungen,Próximos eventos,Upcoming Events,即将到来的事情,即將到來的事件,今後のイベント
OnBoarding-Events-Description,"Don't forget to remember any important events, the schedule list makes the events clear at a glance.","Don't forget to remember any important events, the schedule list makes the events clear at a glance.","Don't forget to remember any important events, the schedule list makes the events clear at a glance.",Verpassen Sie keine wichtigen Veranstaltungen und Termine. Der Terminplan zeigt alle Termine im Überblick.,No olvide recordar cualquier evento importante; el registro de programación hace que el evento sea claro de un simple vistazo.,"Don't forget to remember any important events, the schedule list makes the events clear at a glance.",别错过任何重要的事件，日程列表让事件一目了然。,別錯過任何重要的事件，行事曆讓它們一目了然。,重要なイベントを忘れずに。スケジュールリストでイベントが一目でわかります。
OnBoarding-Notifications,Notifications,Notifications,Notifications,Benachrichtigungen,Notificaciones,Notifications,通知,通知,通知
OnBoarding-Notifications-Description,"Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications.","Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications.","Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications.","Sie wollen keine Nachrichten, Benachrichtigung oder Updates verpassen? Wir have alle aktuellen Information in den Benachrichtungen organisiert.","¿No quiere perder mensajes, notificaciones o actualizaciones? Hemos organizado toda la información de las actualizaciones al día en Notificaciones.","Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications.",不想错过任何消息或更新？我们已在通知中汇整了所有最新的资讯。,不想錯過任何消息或更新？我們已在通知中彙整了所有最新的資訊。,"Don’t want to miss any messages, notices or updates? We have organized all the up-to-date information in Notifications."
