Key,English (en),English GB (en-GB),English US (en-US),German (de),Spanish (es),Arabic (ar),Chinese Simplified (zh-Hans),Chinese Traditional (zh-Hant),Japanese (ja)
OnBoarding-Pay,Pay Online,Pay Online,Pay Online,Online bezahlen,Pagar en línea,Pay Online,在线支付,線上付款,オンライン支払い
OnBoarding-Pay-Description,"Other than checking the payment history, you can also pay the fees through various methods such as cheque, credit card, etc.","Other than checking the payment history, you can also pay the fees through various methods such as cheque, credit card, etc.","Other than checking the payment history, you can also pay the fees through various methods such as cheque, credit card, etc.","Neben der Einsicht in den Zahlungsverlauf, können Sie auch andere Bezahlungsarten wie z.B. Cheque, Kreditkarte, usw. verwenden.","Además de comprobar el historial de pagos, también puede pagar las tasas a través de varias formas, por ejemplo, cheque, tarjeta de crédito, etc.","Other than checking the payment history, you can also pay the fees through various methods such as cheque, credit card, etc.",除了查看付款记录外，您还可以通过支票、信用卡等多种方式支付费用。,除了查看付款紀錄，您還可以通過支票、信用卡等多種方式完成付款。,支払い履歴の確認に加えて、小切手、クレジットカードなど様々な方法で料金を支払うことができます。
OnBoarding-Skip,Skip,Skip,Skip,Überspringen,Saltar,Skip,跳过,略過,スキップ
OnBoarding-Title,What's New,What's New,What's New,Was ist neu,Qué es nuevo,What's New,功能介绍,功能介紹,新機能
Parent-Edit-Binary,Non-Binary,Non-Binary,Non-Binary,Nichtbinär,No binario,Non-Binary,其他,其他,ノンバイナリー
Parent-Edit-ChangePassword,Change Password,Change Password,Change Password,Passwort ändern,Cambiar contraseña,Change Password,修改密码,修改密碼,パスワードを変更
Parent-Edit-Detail,Contact Details,Contact Details,Contact Details,Kontaktinformationen,Detalles de contacto,Contact Details,联系方式,聯絡方式,連絡先詳細
Parent-Edit-Female,Female,Female,Female,Weiblich,Mujer,Female,女,女,女性
Parent-Edit-FirstName,First Name,First Name,First Name,Vorname,Nombre,First Name,姓,姓,名
Parent-Edit-HomePhone,Home Telephone,Home Telephone,Home Telephone,Festnetznummer,Teléfono del domicilio,Home Telephone,家庭电话,家用電話,自宅電話
Parent-Edit-Info,Personal Information,Personal Information,Personal Information,Persönliche Informationen,Información personal,Personal Information,个人信息,個人資訊,個人情報
Parent-Edit-LastName,Last Name,Last Name,Last Name,Nachname,Apellidos,Last Name,名,名,姓
Parent-Edit-Male,Male,Male,Male,Männlich,Varón,Male,男,男,男性
Parent-Edit-Mobile,Mobile Phone,Mobile Phone,Mobile Phone,Mobiltelefon,Teléfono móvil,Mobile Phone,移动电话,手機,携帯電話
Parent-Edit-Title,Profile Edit,Profile Edit,Profile Edit,Profil bearbeiten,Editar perfil,Profile Edit,修改个人资料,修改個人資料,プロフィール編集
Parent-Email-Verify,Please verify your email address!,Please verify your email address!,Please verify your email address!,Bitte verifizieren Sie Ihre E-Mail-Adresse!,¡Verifique su dirección de correo electrónico!,Please verify your email address!,请验证您的邮箱!,請驗證您的電子郵件地址！,メールアドレスを確認してください！
Parent-Email-VerifyDis,An email has been sent to you with a link to confirm your email address.,An email has been sent to you with a link to confirm your email address.,An email has been sent to you with a link to confirm your email address.,Sie haben eine E-Mail mit einem Link zur Bestätigung Ihrer E-Mail-Adresse erhalten.,Le hemos enviado un correo electrónico con un enlace para confirmar su dirección de correo.,An email has been sent to you with a link to confirm your email address.,已向您发送了一封电子邮件，其中包含一个确认您的电子邮件地址的链接。,已向您傳送了一封電子郵件，信中包含一個驗證您電子郵件地址的連結。,メールアドレス確認用のリンクを含むメールが送信されました。
Parent-NewEmail-Verify,Verify New Email Address,Verify New Email Address,Verify New Email Address,Neue E-Mail Adresse verifizieren,Verificar la nueva dirección de correo electrónico,Verify New Email Address,请验证您的新邮箱,請驗證您的新電子郵件地址,新しいメールアドレスを確認
Parent-Profile-Address,Address,Address,Address,Adresse,Dirección,Address,地址,地址,住所
Parent-Profile-BirthDay,Date of Birth,Date of Birth,Date of Birth,Geburtsdatum,Fecha de nacimiento,Date of Birth,生日,生日,生年月日
Parent-Profile-City,City,City,City,Stadt,Ciudad,City,城市,城市,都市
Parent-Profile-Country,Country/Region,Country/Region,Country/Region,Land/Region,País/región,Country/Region,国家/地区,國家/地區,国/地域
Parent-Profile-Email,Email,Email,Email,E-Mail,Correo electrónico,Email,邮箱,電子郵件,メール
Parent-Profile-Gender,Gender,Gender,Gender,Geschlecht,Sexo,Gender,性别,性別,性別
Parent-Profile-Nationality,Nationality,Nationality,Nationality,Nationalität,Nacionalidad,Nationality,国籍,國籍,国籍
Parent-Profile-Phone,Contact Number,Contact Number,Contact Number,Kontaktnummer,Número de contacto,Contact Number,联系电话,聯絡電話,連絡先番号
Parent-Profile-Postal,Postal Code,Postal Code,Postal Code,Postleitzahl,Código Postal,Postal Code,邮编,郵遞區號,郵便番号
Parent-Profile-Role,Parent,Parent,Parent,Eltern,Padre/madre,Parent,家长,家長,保護者
Parent-Profile-State,State,State,State,Staat,Estado,State,州(省),州（省）,州
Parent-Profile-Title,Profile,Profile,Profile,Profil,Perfil,Profile,个人资料,個人資料,プロフィール
Password-Change-Title,Change Password,Change Password,Change Password,Passwort ändern,Cambiar contraseña,Change Password,修改密码,修改密碼,パスワードを変更
Password-Confirm-Title,Confirm Password,Confirm Password,Confirm Password,Passwort bestätigen,Confirmar contraseña,Confirm Password,确认密码,確認密碼,パスワードを確認
Password-Current-Title,Current Password,Current Password,Current Password,Aktuelles Passwort,Contraseña actual,Current Password,当前密码,目前密碼,現在のパスワード
Password-New-Title,New Password,New Password,New Password,Neues Passwort,Nueva contraseña,New Password,新密码,新密碼,新しいパスワード
Password-Status-Blank,This field is required and cannot be left blank.,This field is required and cannot be left blank.,This field is required and cannot be left blank.,Dieses Feld ist erforderlich und darf nicht leer bleiben.,Este campo es necesario y no puede dejarse en blanco.,This field is required and cannot be left blank.,该字段不能为空,該欄位不能為空,このフィールドは必須で、空白にすることはできません。
Password-Status-MinLength,Password does not match (minimum 6 alphanumeric characters).,Password does not match (minimum 6 alphanumeric characters).,Password does not match (minimum 6 alphanumeric characters).,Passwort stimmt nicht überein (mind. 6 alphanumerische Zeichen),La contraseña no coincide (mínimo 6 caracteres alfanuméricos),Password does not match (minimum 6 alphanumeric characters).,密码不匹配(至少六个字母或数字),密碼不相符（至少六個英文字母或數字）,パスワードが一致しません（最低6文字の英数字）。
Password-Status-NotMatch,Password does not match,Password does not match,Password does not match,Passwort stimmt nicht überein,La contraseña no coincide,Password does not match,密码不一致,密碼不一致,パスワードが一致しません
Phone-Already-Exist,This mobile account already exists.,This mobile account already exists.,This mobile account already exists.,Dieses mobile Benutzerkonto gibt es schon.,Esta cuenta móvil ya existe.,This mobile account already exists.,手机号已存在,手機號碼已經存在,この携帯電話アカウントは既に存在します。
Phone-Change-Title,Change Mobile Phone,Change Mobile Phone,Change Mobile Phone,Mobiltelefon ändern,Cambiar teléfono móvil,Change Mobile Phone,修改手机号,修改手機號碼,携帯電話を変更
Phone-Confirm-Code,Confirm your Code,Confirm your Code,Confirm your Code,Bestätigen Sie Ihren Code,Confirmar su código,Confirm your Code,输入验证码,輸入驗證碼,コードを確認
Phone-Country-Code,Country Code,Country Code,Country Code,Landesvorwahl,Código del país,Country Code,国家/地区,國家/地區,国コード
Phone-Not-Verify,Current Mobile Phone doesn't verify.,Current Mobile Phone doesn't verify.,Current Mobile Phone doesn't verify.,Das aktuelle Mobiltelefon ist nicht verifiziert.,El actual teléfono móvil no está verificado.,Current Mobile Phone doesn't verify.,当前手机号未验证,目前手機號碼尚未驗證,現在の携帯電話は確認されていません。
Phone-Number,Your phone number,Your phone number,Your phone number,Ihre Rufnummer,Su número de teléfono,Your phone number,您的手机号,您的手機號碼,電話番号
Phone-ReSend-Code,Resend,Resend,Resend,Erneut senden,Reenviar,Resend,重发,重發,再送信
Phone-Send-Code,Send Code,Send Code,Send Code,Code senden,Enviar código,Send Code,发送验证码,發送驗證碼,コードを送信
Phone-SendCode-Error,SMS code send failed,SMS code send failed,SMS code send failed,Versand des SMS-Codes fehlgeschlagen,El código SMS enviado ha fallado,SMS code send failed,验证码发送失败,驗證碼發送失敗,SMSコード送信失敗
Phone-SendCode-Success,SMS code has been sent,SMS code has been sent,SMS code has been sent,SMS-Code wurde gesendet,El código SMS ha sido enviado,SMS code has been sent,验证码已经发送,驗證碼已經發送,SMSコードが送信されました
Phone-Verify-Message,"After verifying the mobile phone, you can log in through the mobile phone number later.","After verifying the mobile phone, you can log in through the mobile phone number later.","After verifying the mobile phone, you can log in through the mobile phone number later.",Nach der Verifizierung des Mobiltelefons können Sie sich später über die Mobiltelefonnummer anmelden.,"Después de verificar el teléfono móvil, puede iniciar sesión a través del número de teléfono móvil.","After verifying the mobile phone, you can log in through the mobile phone number later.",当您验证过手机号，后续可以使用手机号进行登录。,當您完成手機號碼驗證，未來即可使用手機號碼進行登入,携帯電話を確認すると、後で携帯電話番号でログインできます。
Phone-Verify-Title,Verify Mobile Phone,Verify Mobile Phone,Verify Mobile Phone,Mobiltelefon verifizieren,Verificar teléfono móvil,Verify Mobile Phone,验证手机号,驗證手機號碼,携帯電話を確認
Profile-Avatar-Updated,The photo has been successfully uploaded.,The photo has been successfully uploaded.,The photo has been successfully uploaded.,Das Foto wurde erfolgreich hochgeladen.,La foto se ha subido correctamente.,The photo has been successfully uploaded.,照片已成功上传。,照片已成功上傳。,写真が正常にアップロードされました。
Profile-Select-Country,Select an option,Select an option,Select an option,Eine Option wählen,Seleccionar una opción,Select an option,选择一个选项,選擇一個選項,オプションを選択
Profile-Toast-MobileError,has invalid phone format,has invalid phone format,has invalid phone format,hat ein ungültiges Telefonformat,El formato de teléfono no es válido,has invalid phone format,电话格式无效,無效的電話號碼格式,電話番号の形式が無効です
QR-Login-Cancel,Cancel Login,Cancel Login,Cancel Login,Anmeldung abbrechen,Cancelar inicio de sesión,Cancel Login,取消登录,取消登入,ログインをキャンセル
QR-Login-Confirm,Confirm Login,Confirm Login,Confirm Login,Anmeldung bestätigen,Confirmar inicio de sesión,Confirm Login,确认登录,確認登入,ログインを確認
QR-Login-Confirm-Description,"To ensure account security, please confirm that it's you performing this action.","To ensure account security, please confirm that it's you performing this action.","To ensure account security, please confirm that it's you performing this action.","Zur Sicherung Ihres Kontos bestätigen Sie bitte, dass Sie diese Aktion durchführen.","Para garantizar la seguridad de la cuenta, por favor confirme que es usted quien realiza esta acción.","To ensure account security, please confirm that it's you performing this action.",为确保账号安全，请确认是您本人操作。,為確保帳號安全，請確認是您本人操作。,アカウントのセキュリティを確保するため、この操作を実行しているのがあなたであることを確認してください。
QR-Login-Confirm-Title,Confirm the OpenApply account login on your browser,Confirm the OpenApply account login on your browser,Confirm the OpenApply account login on your browser,Bestätigen Sie die Anmeldung Ihres OpenApply-Kontos in Ihrem Browser.,Confirme el inicio de sesión de su cuenta de OpenApply en su navegador.,Confirm the OpenApply account login on your browser,OpenApply账号网页端登录确认,OpenApply帳號網頁端登入確認,ブラウザでOpenApplyアカウントのログインを確認してください
QR-Login-Rescan,Rescan,Rescan,Rescan,Erneut scannen,Volver a escanear,Rescan,重新扫描,重新掃描,再スキャン
QR-Login-Success,Login successful,Login successful,Login successful,Anmeldung erfolgreich,Inicio de sesión exitoso,Login successful,登录成功,登入成功,ログイン成功
QR-Login-Title,Login ,Login ,Login ,Anmelden,Inicio de sesión,Login ,登录,登入,ログイン
Remind-No-Checklist,No Checklist,No Checklist,No Checklist,Keine Checkliste,Sin lista de comprobación,No Checklist,没有清单提示,沒有清單提示,チェックリストなし
Remind-No-Checklist-Tips,Congrats! You have completed your checklist items for now.,Congrats! You have completed your checklist items for now.,Congrats! You have completed your checklist items for now.,Herzlichen Glückwunsch! Sie haben zur Zeit alle Einträge in der Liste erfüllt.,¡Felicidades! Ha completado sus elementos de la lista de comprobación por el momento.,Congrats! You have completed your checklist items for now.,尚未添加清单项目,尚未添加清單項目,おめでとうございます！チェックリスト項目をすべて完了しました。
Remind-No-Data,No Data,No Data,No Data,Keine Daten,Sin datos,No Data,无数据,無數據,データなし
Remind-No-Data-Tips,This is no data,This is no data,This is no data,Keine Daten vorhanden,No hay datos,This is no data,没有数据,沒有數據,データがありません
Remind-No-Message,No Messages,No Messages,No Messages,Keine Nachrichten,Sin mensajes,No Messages,没有消息,沒有消息,メッセージなし
Remind-No-Message-Tips,Send a message to the admissions team.,Send a message to the admissions team.,Send a message to the admissions team.,Eine Nachricht an das Anmeldungsteam senden.,Envíe un mensaje al equipo de admisión.,Send a message to the admissions team.,没有学生，你可以添加学生。,沒有學生，你可以添加學生,入学チームにメッセージを送信してください。
Remind-No-Notifications,No Notifications,No Notifications,No Notifications,Keine Benachrichtigungen,Sin notificaciones,No Notifications,没有通知,沒有通知,通知なし
Remind-No-Notifications-Tips,Notifications from the school will appear here.,Notifications from the school will appear here.,Notifications from the school will appear here.,Benachrichtigungen von der Schule werden hier angezeigt.,Las notificaciones de la escuela aparecerán aquí.,Notifications from the school will appear here.,没有通知信息,沒有通知信息,学校からの通知がここに表示されます。
Remind-No-Uploaded-Files,No Uploaded Files,No Uploaded Files,No Uploaded Files,Keine hochgeladenen Dateien,Sin archivos subidos,No Uploaded Files,没有上传文件,沒有上傳文件,アップロードされたファイルなし
Remind-No-Uploaded-Files-Tips,Your files will appear here.,Your files will appear here.,Your files will appear here.,Ihre Dateien werden hier angezeigt.,Sus archivos aparecerán aquí.,Your files will appear here.,还没有上传文件,還沒有上傳文件,ファイルがここに表示されます。
Reset-Password-Message,Please check your email to reset your password,Please check your email to reset your password,Please check your email to reset your password,"Bitte überprüfen Sie Ihre E-Mail, um Ihr Passwort zurückzusetzen","Por favor, compruebe su correo electrónico para restablecer su contraseña.",Please check your email to reset your password,请检查您的电子邮件以重置密码,請檢查您的電子郵件以重置密碼,パスワードをリセットするにはメールを確認してください
School-Contact-Email,Email,Email,Email,E-Mail,Correo electrónico,Email,邮箱,電子郵件,メール
School-Contact-Phone,Phone,Phone,Phone,Telefon,Teléfono,Phone,电话,電話,電話
School-Contact-Role,Role,Role,Role,Rolle,Funciones,Role,职位,職位,役割
School-Detail-Campus,Campus Locations,Campus Locations,Campus Locations,Campus-Standorte,Ubicaciones de campus,Campus Locations,校园位置,校園位置,キャンパスの場所
School-Detail-Contact,Admissions Contacts,Admissions Contacts,Admissions Contacts,Zulassungsteam Kontakte,Contactos de admisiones,Admissions Contacts,招生联系人,招生聯絡人,入学担当者
School-Details,Details,Details,Details,Details,Detalles,Details,更多信息,更多資訊,詳細
School-OverView,Overview,Overview,Overview,Übersicht,Resumen,Overview,总览,總覽,概要
School-Title,School Information,School Information,School Information,Schulinformation,Información de la escuela,School Information,学校信息,學校資訊,学校情報
Select-School,Select School,Select School,Select School,Schule wählen,Seleccionar escuela,Select School,选择学校,選擇學校,学校を選択
Sign-Enter-Password,Enter Password,Enter Password,Enter Password,Passwort eingeben,Introducir contraseña,Enter Password,输入密码,輸入密碼,パスワードを入力
Sign-Forgot-Password,Forgot Password,Forgot Password,Forgot Password,Passwort vergessen,Olvidé mi contraseña,Forgot Password,忘记密码,忘記密碼,パスワードを忘れた
Sign-In-Description,Streamline the admissions journey,Streamline the admissions journey,Streamline the admissions journey,Streamline die Einlassgefahr,Racionalice el proceso de admisión,Streamline the admissions journey,简化入学流程,簡化入學流程,入学手続きを効率化
Sign-In-Next,Next,Next,Next,Weiter,Siguiente,Next,下一步,下一步,次へ
Sign-In-Title,Sign In,Sign In,Sign In,Anmelden,Iniciar sesión,Sign In,登录,登入,サインイン
Sign-In-Welcome,Welcome to OpenApply,Welcome to OpenApply,Welcome to OpenApply,Willkommen bei OpenApply,Bienvenido a OpenApply,Welcome to OpenApply,欢迎使用OpenApply,歡迎使用 OpenApply,OpenApplyへようこそ
Sign-Password-Reset,Password Reset,Password Reset,Password Reset,Passwort zurücksetzen,Contraseña restablecida,Password Reset,密码重设,密碼重設,パスワードリセット
Sign-Password-ResetDescription,"Check your email address below, then click Reset Password and we will send you instructions on how to change your password.","Check your email address below, then click Reset Password and we will send you instructions on how to change your password.","Check your email address below, then click Reset Password and we will send you instructions on how to change your password.",Überprüfen Sie die untenstehende E-mail Adresse. Klicken sie Passwort zurücksetzen und wir senden Ihnen Anweisungen wie Sie Ihr Passwort ändern können.,"Compruebe su dirección de correo electrónico abajo, después haga clic en reiniciar contraseña y le enviaremos instrucciones de cómo cambiar su contraseña.","Check your email address below, then click Reset Password and we will send you instructions on how to change your password.",检查下面的电子邮件地址，然后单击重置密码，我们将向您发送如何更改密码的说明邮件。,請檢查下方的電子郵件地址，然後點擊重設密碼，我們將向您發送變更密碼的說明郵件。,下記のメールアドレスを確認し、パスワードリセットをクリックしてください。パスワード変更方法をメールでお送りします。
Sign-Remember-Me,Remember Me,Remember Me,Remember Me,Anmeldedaten speichern,Recordar,Remember Me,记住我,記住我,ログイン状態を保持
Sign-Reset-Password,Reset Password,Reset Password,Reset Password,Passwort zurücksetzen,Restablecer contraseña,Reset Password,重设密码,重設密碼,パスワードをリセット
SignIn-with-Google,Sign In with Google,Sign In with Google,Sign In with Google,Mit Google anmelden,Iniciar sesión con Google,Sign In with Google,Google,使用 Google 登入,Googleでサインイン
SignIn-with-WeChat,Sign In with WeChat,Sign In with WeChat,Sign In with WeChat,Mit WeChat anmelden,Iniciar sesión con WeChat,Sign In with WeChat,微信登录,微信登录,WeChatでサインイン
Student-Add-Applicant,Add New Applicant,Add New Applicant,Add New Applicant,Neuen Bewerber hinzufügen,Añadir un solicitante nuevo,Add New Applicant,添加新申请人,添加新申請人,新しい申請者を追加
Student-Applicant-Progress,Applicant Progress,Applicant Progress,Applicant Progress,Fortschritt des Bewerbers,Progreso de solicitante,Applicant Progress,申请人进度,申請人進度,申請者の進捗
Student-ReApply-Title,Reapply,Reapply,Reapply,Erneut bewerben,Reaplicar,Reapply,重新申请,重新申請,再申請
Student-Status-Admitted,Admitted,Admitted,Admitted,Zugelassen,Admitido,Admitted,录取,錄取,合格
Student-Status-Applied,Applied,Applied,Applied,Beworben,Aplicado,Applied,已申请,已申請,申請済み
Student-Status-Declined,Declined,Declined,Declined,Abgelehnt,Rechazado,Declined,拒绝,拒絕,辞退
Student-Status-Enrolled,Enrolled,Enrolled,Enrolled,Angemeldet,Matriculado,Enrolled,注册,註冊,在籍
Student-Status-Graduated,Graduated,Graduated,Graduated,Absolviert,Graduado,Graduated,毕业,畢業,卒業
Student-Status-Items,items,items,items,Elemente,Elementos,items,项,項,項目
Student-Status-Pending,Pending,Pending,Pending,Ausstehend,Pendiente,Pending,待申请,待申請,保留中
Student-Status-Wait-listed,Wait-listed,Wait-listed,Wait-listed,Auf der Warteliste,En lista de espera,Wait-listed,候补,候補,待機リスト
Student-Status-Withdrawn,Withdrawn,Withdrawn,Withdrawn,Zurückgezogen,Retirado,Withdrawn,退学,退學,退学
Toast-Operation-Failed,Operation failed,Operation failed,Operation failed,Vorgang fehlgeschlagen,La operación ha fallado,Operation failed,操作失败,操作失敗,操作が失敗しました
Toast-Operation-Success,Operation successful,Operation successful,Operation successful,Vorgang erfolgreich,Operación realizada con éxito,Operation successful,操作成功,操作成功,操作が成功しました
Toast-Required-Address,Address is required.,Address is required.,Address is required.,Adresse ist erforderlich.,Es necesaria la dirección.,Address is required.,请输入地址。,請輸入地址。,住所が必要です。
Toast-Required-Email,Email is required.,Email is required.,Email is required.,E-Mail ist erforderlich.,Es necesario el correo electrónico.,Email is required.,请输入邮箱。,請輸入電子郵件。,メールが必要です。
Toast-Required-FirstName,First Name is required.,First Name is required.,First Name is required.,Vorname ist ein Pflichtfeld.,Es necesario el nombre.,First Name is required.,请输入姓名。,請輸入姓名。,名が必要です。
Toast-Required-LastName,Last Name is required.,Last Name is required.,Last Name is required.,Nachname ist ein Pflichtfeld.,Es necesario el apellido,Last Name is required.,请输入姓名。,請輸入姓名。,姓が必要です。
Toast-Required-Phone,Mobile Phone is required.,Mobile Phone is required.,Mobile Phone is required.,Mobiltelefon ist erforderlich.,Es necesario el teléfono móvil.,Mobile Phone is required.,请输入手机号。,請輸入手機號碼。,携帯電話が必要です。
Toast-Submit-Cancel,Operation canceled,Operation canceled,Operation canceled,Vorgang abgebrochen,Operación cancelada,Operation canceled,操作取消,操作取消,操作がキャンセルされました
Toast-Submit-Success,Document sent,Document sent,Document sent,Dokument gesendet,Documento Enviado,Document sent,提交成功,提交成功,ドキュメントを送信しました
Toast-Token-invalid,You have signed in another device.,You have signed in another device.,You have signed in another device.,Sie haben sich an einem anderen Gerät angemeldet.,Ha iniciado sesión en otro dispositivo.,You have signed in another device.,登录信息失效,登錄信息失效,別のデバイスでサインインしました。
Upload-Queue-Limit,Please wait for the upload to complete.,Please wait for the upload to complete.,Please wait for the upload to complete.,Bitte warten Sie bis der Hochladevorgang abgeschlossen ist,Espere que se complete la carga.,Please wait for the upload to complete.,请等待上传完成后，再上传。,請等待上傳完成後，再上傳,アップロードが完了するまでお待ちください。
WeChat-Alter-Confirmation-title,Confirmation,Confirmation,Confirmation,Bestätigung,Confirmación,Confirmation,确认,確認,確認
WeChat-Alter-Unlink-Dec,,,,Möchtest du dein WeChat-Konto trennen?,¿Quieres desvincular la cuenta de WeChat?,,想解除绑定微信账号？,想解除綁定微信帳號？,
WeChat-Button-Cancel-Unlink,Cancel,Cancel,Cancel,Abbrechen,Cancelar,Cancel,取消,取消,キャンセル
WeChat-Button-OK,OK,OK,OK,,,OK,,,OK
WeChat-Link-Title,WeChat,WeChat,WeChat,WeChat,WeChat,WeChat,微信,微信,WeChat
WeChat-Linked-With,Linked with,Linked with,Linked with,Verknüpft mit ,Enlazado con ,Linked with,已绑定  ,已绑定 ,リンク済み
WeChat-Unlink-Confirm-Button,Unlink,Unlink,Unlink,Trennen,Desvincular,Unlink,解绑,解綁,リンク解除
WeChat-Unlink-Done,Unlink,Unlink,Unlink,Trennen,Desvincular,Unlink,解绑,解綁,リンク解除
WeChat-Unlink-Failure,Unlink failed. Please try again.,Unlink failed. Please try again.,Unlink failed. Please try again.,Trennung fehlgeschlagen. Bitte versuche es erneut.,"Error al desvincular. Por favor, inténtelo de nuevo.",Unlink failed. Please try again.,解绑失败，请重试,解綁失敗，請重試,リンク解除に失敗しました。もう一度お試しください。
WeChat-Unlink-Success,Your account has successfully unlinked with WeChat.,Your account has successfully unlinked with WeChat.,Your account has successfully unlinked with WeChat.,Dein Konto wurde erfolgreich von WeChat getrennt.,u cuenta se ha desvinculado correctamente de WeChat.,Your account has successfully unlinked with WeChat.,您的账号已成功取消与微信的关联。,您的帳號已成功取消與微信的關聯。,アカウントがWeChatとのリンクを解除しました。
WeChat-Unlink-Title,WeChat,WeChat,WeChat,WeChat,WeChat,WeChat,微信,微信,WeChat
WeChat-authorization-failed,WeChat login authorization failed,WeChat login authorization failed,WeChat login authorization failed,WeChat-Anmeldeautorisierung fehlgeschlagen,Fallo en la autorización de inicio de sesión de WeChat,WeChat login authorization failed,微信授权失败,微信授權失敗,WeChat ログイン認証に失敗しました
WeChat-login-no-schools,We couldn't find the school associated with your WeChat account. Please log in using your email or phone number.,We couldn't find the school associated with your WeChat account. Please log in using your email or phone number.,We couldn't find the school associated with your WeChat account. Please log in using your email or phone number.,Wir konnten die mit Ihrem WeChat-Konto verknüpfte Schule nicht finden. Bitte melden Sie sich mit Ihrer E-Mail-Adresse oder Telefonnummer an.,"No hemos encontrado la escuela asociada a tu cuenta de WeChat. Por favor, inicia sesión utilizando tu correo electrónico o número de teléfono.",We couldn't find the school associated with your WeChat account. Please log in using your email or phone number.,暂无未查到您微信绑定的学校，请通过邮箱，或手机号登录。,暫未查到你微信已綁定的學校，請通過郵箱或手機號登錄。,WeChatアカウントに関連する学校が見つかりませんでした。メールまたは電話番号を使用してログインしてください。
WeChat-token-failed,WeChat user token retrieval failed,WeChat user token retrieval failed,WeChat user token retrieval failed,WeChat-Benutzertoken-Abruf fehlgeschlagen,Fallo en la obtención del token de usuario de WeChat,WeChat user token retrieval failed,微信token获取失败,微信令牌獲取失敗,WeChatユーザートークンの取得に失敗しました
WebLink-URL-Invalid,"Sorry, this link is empty or invalid.","Sorry, this link is empty or invalid.","Sorry, this link is empty or invalid.","Entschuldigung, aber dieser Link ist leer oder ungültig.","Este enlace está vacío o es inválido, disculpe las molestias.","Sorry, this link is empty or invalid.",抱歉，此链接为空或无效，无法打开。,抱歉，使連結為空或無效，無法開啟,申し訳ありませんが、このリンクは空または無効です。
Wechat-Button-Cancel,Maybe Later,Maybe Later,Maybe Later,Vielleicht später,Quizás Más Tarde,Maybe Later,以后再说,以後再說,後で
Wechat-Button-Link,Link Now,Link Now,Link Now,Jetzt verlinken,Correlacionar ahora,Link Now,立刻绑定,立刻綁定,今すぐリンク
Wechat-Reminder-Description,Link your WeChat account to easily login in the future.,Link your WeChat account to easily login in the future.,Link your WeChat account to easily login in the future.,"Verlinke dein WeChat-Konto, um dich in Zukunft einfacher anzumelden.",Vincula tu cuenta de WeChat para iniciar sesión fácilmente en el futuro.,Link your WeChat account to easily login in the future.,绑定您的微信账号，以便将来更轻松登录。,綁定您的微信帳號，以便將來更輕鬆登入。,WeChatアカウントをリンクして、今後簡単にログインできるようにします。
Wechat-Reminder-Title,Easy Login,Easy Login,Easy Login,Direktanmeldung,Inicio fácil,Easy Login,快捷登录,快速登入,簡単ログイン
Wed-Toast-LoadingFail,loading failed,loading failed,loading failed,Laden fehlgeschlagen,La carga ha fallado,loading failed,加载失败,載入失敗,読み込みに失敗しました
Wed-Toast-LoadingFileCanOpen,"File format not supported, open with Safari?","File format not supported, open with Safari?","File format not supported, open with Safari?",Dateiformat ist nicht unterstützt. In Safari öffnen?,"Formato de archivo no admitido, ¿abrir con Safari?","File format not supported, open with Safari?",不支持该文件格式，是否用 Safari 打开?,不支援該檔案格式，是否用 Safari 開啟？,ファイル形式はサポートされていません。Safariで開きますか？
refresh_idle,Pull down to refresh,Pull down to refresh,Pull down to refresh,Zum Aktualisieren nach unten ziehen,Bajar para actualizar,Pull down to refresh,下拉刷新,下拉更新,下に引いて更新
refresh_pulling,Release to refresh,Release to refresh,Release to refresh,Zum Aktualisieren loslassen,Liberar para actualizar,Release to refresh,释放刷新,釋放更新,離して更新
refresh_refreshing,Loading...,Loading...,Loading...,Laden ...,Cargando...,Loading...,正在努力加载,正在努力載入中,読み込み中...
refresh_willRefresh,Release to refresh,Release to refresh,Release to refresh,Zum Aktualisieren loslassen,Liberar para actualizar,Release to refresh,释放刷新,釋放更新,離して更新
tabbar_DashBoard,Home,Home,Home,Startseite,Inicio,Home,首页,首頁,ホーム
tabbar_Messages,Inbox,Inbox,Inbox,Posteingang,Buzón de entrada,Inbox,消息,消息,受信箱
tabbar_Settings,Me,Me,Me,Ich,Yo,Me,我,我,マイページ
